Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,0,2014-00,749.37,750.78,735.5,742.99,0,742.99,-0.0085,729.215,749.9008
2014-01-03,2014,1,3,Friday,0,2014-00,742.99,743.81,736.11,741.87,0,741.87,-0.0015,731.6635714285713,749.158
2014-01-06,2014,1,6,Monday,0,2014-00,741.87,741.92,726.78,727.81,0,727.81,-0.019,733.1378571428571,748.0218000000001
2014-01-07,2014,1,7,Tuesday,0,2014-00,727.81,733.07,720.45,725.03,0,725.03,-0.0038,733.5935714285714,746.8128
2014-01-08,2014,1,8,Wednesday,1,2014-01,725.03,729.06,721.73,723.0,0,723.0,-0.0028,733.7514285714286,745.6116000000001
2014-01-09,2014,1,9,Thursday,1,2014-01,723.0,724.6,705.0,706.81,0,706.81,-0.0224,732.7885714285715,744.0673999999999
2014-01-10,2014,1,10,Friday,1,2014-01,706.81,724.95,705.26,716.85,0,716.85,0.0141999999999999,732.2392857142856,742.6446000000001
2014-01-13,2014,1,13,Monday,1,2014-01,716.85,727.22,716.85,723.98,0,723.98,0.0098999999999999,732.215,741.6358
2014-01-14,2014,1,14,Tuesday,1,2014-01,723.98,724.02,714.55,720.53,0,720.53,-0.0048,731.4878571428571,740.6928
2014-01-15,2014,1,15,Wednesday,2,2014-02,720.53,732.72,720.53,732.4,0,732.4,0.0165,731.5528571428571,739.664
2014-01-16,2014,1,16,Thursday,2,2014-02,732.4,760.12,732.4,754.64,0,754.64,0.0304,733.2064285714287,738.8486
2014-01-17,2014,1,17,Friday,2,2014-02,754.64,772.25,754.64,766.69,0,766.69,0.016,734.5857142857142,738.2614
2014-01-20,2014,1,20,Monday,2,2014-02,766.69,772.14,758.97,765.32,0,765.32,-0.0018,735.5207142857143,737.8618000000001
2014-01-21,2014,1,21,Tuesday,2,2014-02,765.32,765.38,745.9,749.08,0,749.08,-0.0212,735.5,737.1772
2014-01-22,2014,1,22,Wednesday,3,2014-03,749.08,762.72,746.05,748.58,0,748.58,-0.0007,735.8992857142857,736.5948
2014-01-23,2014,1,23,Thursday,3,2014-03,748.58,756.14,740.2,746.12,0,746.12,-0.0033,736.2028571428572,736.0808000000001
2014-01-24,2014,1,24,Friday,3,2014-03,746.12,747.34,728.45,730.93,0,730.93,-0.0204,736.4257142857142,735.5731999999999
2014-01-27,2014,1,27,Monday,3,2014-03,730.93,737.52,721.68,724.7,0,724.7,-0.0085,736.402142857143,734.8653999999999
2014-01-28,2014,1,28,Tuesday,3,2014-03,724.7,738.02,724.7,734.59,0,734.59,0.0136,737.2300000000001,734.2528
2014-01-29,2014,1,29,Wednesday,4,2014-04,734.59,755.61,729.37,744.35,0,744.35,0.0133,739.9114285714285,733.7719999999999
2014-01-30,2014,1,30,Thursday,4,2014-04,744.35,748.29,736.73,744.17,0,744.17,-0.0002,741.8628571428571,733.4395999999999
2014-01-31,2014,1,31,Friday,4,2014-04,744.17,746.29,730.92,741.68,0,741.68,-0.0033,743.1271428571428,733.0301999999999
2014-02-03,2014,2,3,Monday,4,2014-04,741.68,750.16,731.09,732.61,0,732.61,-0.0121999999999999,743.99,732.6741999999999
2014-02-04,2014,2,4,Tuesday,4,2014-04,732.61,737.07,723.72,734.25,0,734.25,0.0022,744.1221428571429,732.5398
