Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,0,2014-00,7817.82,7845.18,7743.63,7830.4,0,7830.4,0.0016,7630.189285714286,7502.0064
2014-01-03,2014,1,3,Friday,0,2014-00,7830.4,7876.55,7791.35,7874.07,0,7874.07,0.0056,7667.463571428571,7508.944600000001
2014-01-06,2014,1,6,Monday,0,2014-00,7874.07,7913.37,7844.12,7894.35,0,7894.35,0.0026,7704.557142857143,7515.1674
2014-01-07,2014,1,7,Tuesday,0,2014-00,7894.35,7906.6,7861.7,7891.53,0,7891.53,-0.0004,7736.142857142857,7521.711800000001
2014-01-08,2014,1,8,Wednesday,1,2014-01,7891.53,7891.53,7820.68,7830.04,0,7830.04,-0.0078,7764.129285714285,7527.628000000001
2014-01-09,2014,1,9,Thursday,1,2014-01,7830.04,7848.67,7785.82,7803.93,0,7803.93,-0.0033,7789.394285714286,7533.0148
2014-01-10,2014,1,10,Friday,1,2014-01,7803.93,7924.43,7802.19,7924.43,0,7924.43,0.0154,7811.451428571428,7540.9152
2014-01-13,2014,1,13,Monday,1,2014-01,7924.43,7955.88,7903.17,7948.96,0,7948.96,0.0031,7830.797142857143,7550.0052
2014-01-14,2014,1,14,Tuesday,1,2014-01,7948.96,7948.96,7796.13,7890.27,0,7890.27,-0.0074,7838.358571428571,7558.269200000001
2014-01-15,2014,1,15,Wednesday,2,2014-02,7890.27,7906.25,7874.23,7895.57,0,7895.57,0.0007,7849.29,7566.378799999999
2014-01-16,2014,1,16,Thursday,2,2014-02,7895.57,7895.57,7818.96,7841.07,0,7841.07,-0.0069,7856.328571428571,7574.8744
2014-01-17,2014,1,17,Friday,2,2014-02,7841.07,7862.51,7779.74,7796.16,0,7796.16,-0.0056999999999999,7859.198571428571,7581.740400000001
2014-01-20,2014,1,20,Monday,2,2014-02,7796.16,7811.87,7759.65,7802.61,0,7802.61,0.0008,7860.086428571428,7589.290599999999
2014-01-21,2014,1,21,Tuesday,2,2014-02,7802.61,7832.53,7761.43,7781.44,0,7781.44,-0.0027,7857.487857142857,7598.063599999999
2014-01-22,2014,1,22,Wednesday,3,2014-03,7781.44,7820.75,7734.49,7742.09,0,7742.09,-0.0051,7851.18,7603.5938
2014-01-23,2014,1,23,Thursday,3,2014-03,7742.09,7773.52,7671.19,7694.01,0,7694.01,-0.0062,7838.318571428571,7609.739199999999
2014-01-24,2014,1,24,Friday,3,2014-03,7694.01,7694.48,7461.56,7496.04,0,7496.04,-0.0256999999999999,7809.867857142856,7614.206
2014-01-27,2014,1,27,Monday,3,2014-03,7496.04,7513.65,7362.2,7406.51,0,7406.51,-0.0118999999999999,7775.223571428571,7616.3692
2014-01-28,2014,1,28,Tuesday,3,2014-03,7406.51,7556.42,7406.51,7549.07,0,7549.07,0.0192,7755.154285714286,7620.727999999999
2014-01-29,2014,1,29,Wednesday,4,2014-04,7549.07,7678.1,7462.96,7509.5,0,7509.5,-0.0052,7734.123571428571,7621.828399999999
2014-01-30,2014,1,30,Thursday,4,2014-04,7509.5,7538.92,7427.65,7537.24,0,7537.24,0.0037,7706.467142857143,7624.5978
2014-01-31,2014,1,31,Friday,4,2014-04,7537.24,7564.9,7409.5,7470.27,0,7470.27,-0.0089,7672.275,7625.6662
2014-02-03,2014,2,3,Monday,4,2014-04,7470.27,7502.27,7361.17,7364.93,0,7364.93,-0.0141,7634.750714285715,7624.9342
2014-02-04,2014,2,4,Tuesday,4,2014-04,7364.93,7471.67,7318.04,7449.78,0,7449.78,0.0115,7602.908571428571,7625.9462
2014-02-05,2014,2,5,Wednesday,5,2014-05,7449.78,7526.35,7412.91,7462.24,0,7462.24,0.0017,7575.849285714285,7624.905599999999
2014-02-06,2014,2,6,Thursday,5,2014-05,7462.24,7601.33,7462.24,7594.23,0,7594.23,0.0177,7561.425714285715,7627.297799999999
2014-02-07,2014,2,7,Friday,5,2014-05,7594.23,7652.8,7593.5,7628.61,0,7628.61,0.0045,7548.997142857143,7629.295
2014-02-10,2014,2,10,Monday,5,2014-05,7628.61,7662.76,7592.54,7618.85,0,7618.85,-0.0013,7537.3835714285715,7630.5344
2014-02-11,2014,2,11,Tuesday,5,2014-05,7618.85,7720.2,7618.85,7720.2,0,7720.2,0.0133,7535.82,7633.618
2014-02-12,2014,2,12,Wednesday,6,2014-06,7720.2,7761.27,7712.57,7755.38,0,7755.38,0.0046,7540.203571428572,7639.0138
2014-02-13,2014,2,13,Thursday,6,2014-06,7755.38,7755.38,7659.03,7724.5,0,7724.5,-0.004,7556.522142857143,7645.04
2014-02-14,2014,2,14,Friday,6,2014-06,7724.5,7758.3,7703.88,7747.52,0,7747.52,0.003,7580.88,7652.8524
2014-02-17,2014,2,17,Monday,6,2014-06,7747.52,7811.11,7741.44,7802.87,0,7802.87,0.0070999999999999,7599.0085714285715,7662.2492
2014-02-18,2014,2,18,Tuesday,6,2014-06,7802.87,7911.08,7795.27,7907.68,0,7907.68,0.0134,7627.45,7671.943
2014-02-19,2014,2,19,Wednesday,7,2014-07,7907.68,7932.56,7867.76,7905.97,0,7905.97,-0.0002,7653.787857142858,7680.5914
2014-02-20,2014,2,20,Thursday,7,2014-07,7905.97,7905.97,7785.01,7861.46,0,7861.46,-0.0056,7681.73,7688.1876
2014-02-21,2014,2,21,Friday,7,2014-07,7861.46,7904.15,7850.82,7889.84,0,7889.84,0.0036,7719.223571428571,7696.717399999999
2014-02-24,2014,2,24,Monday,7,2014-07,7889.84,7990.0,7856.48,7990.0,0,7990.0,0.0127,7757.810714285713,7709.4728
2014-02-25,2014,2,25,Tuesday,7,2014-07,7990.0,7990.2,7903.56,7962.58,0,7962.58,-0.0034,7793.549285714286,7721.2236
2014-02-26,2014,2,26,Wednesday,8,2014-08,7962.58,7984.55,7929.81,7958.52,0,7958.52,-0.0005,7819.57,7731.4074
2014-02-27,2014,2,27,Thursday,8,2014-08,7958.52,8008.97,7907.93,8000.46,0,8000.46,0.0053,7846.130714285714,7742.651999999999
2014-02-28,2014,2,28,Friday,8,2014-08,8000.46,8134.42,7998.11,8134.42,0,8134.42,0.0167,7882.957142857143,7756.336000000001
2014-03-03,2014,3,3,Monday,8,2014-08,8134.42,8134.42,7854.67,7887.43,0,7887.43,-0.0304,7894.902142857143,7761.772000000001
2014-03-04,2014,3,4,Tuesday,8,2014-08,7887.43,8025.46,7887.43,8025.46,0,8025.46,0.0175,7914.193571428572,7768.7188
2014-03-05,2014,3,5,Wednesday,9,2014-09,8025.46,8027.49,7962.82,7984.62,0,7984.62,-0.0051,7932.773571428572,7772.723000000001
2014-03-06,2014,3,6,Thursday,9,2014-09,7984.62,8099.15,7984.62,8092.37,0,8092.37,0.0135,7957.405714285714,7779.719800000001
2014-03-07,2014,3,7,Friday,9,2014-09,8092.37,8109.35,8029.25,8033.39,0,8033.39,-0.0073,7973.871428571429,7785.536999999999
2014-03-09,2014,3,9,Sunday,9,2014-09,8033.39,8033.39,8033.39,8033.39,0,8033.39,0.0,7982.850714285714,7791.0852
2014-03-10,2014,3,10,Monday,9,2014-09,8033.39,8087.4,7975.86,7996.48,0,7996.48,-0.0046,7989.315714285714,7795.2112
2014-03-11,2014,3,11,Tuesday,9,2014-09,7996.48,8054.01,7986.11,8004.58,0,8004.58,0.001,7999.538571428572,7798.9464
2014-03-12,2014,3,12,Wednesday,10,2014-10,8004.58,8007.2,7899.68,7912.27,0,7912.27,-0.0115,8001.140714285714,7800.5838
2014-03-13,2014,3,13,Thursday,10,2014-10,7912.27,7943.59,7846.36,7846.36,0,7846.36,-0.0083,7990.880714285714,7800.0296
2014-03-14,2014,3,14,Friday,10,2014-10,7846.36,7846.36,7701.77,7739.62,0,7739.62,-0.0136,7974.955000000001,7796.935
2014-03-17,2014,3,17,Monday,10,2014-10,7739.62,7826.15,7738.07,7814.54,0,7814.54,0.0097,7964.670714285714,7795.3952
2014-03-18,2014,3,18,Tuesday,10,2014-10,7814.54,7901.61,7793.95,7883.35,0,7883.35,0.0088,7956.305714285714,7796.4614
2014-03-19,2014,3,19,Wednesday,11,2014-11,7883.35,8043.5,7881.52,8036.69,0,8036.69,0.0195,7949.324999999999,7801.1166
