Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,0,2014-00,460.29,461.3,456.86,457.56,0,457.56,-0.0059,454.7428571428572,450.9803999999999
2014-01-03,2014,1,3,Friday,0,2014-00,457.56,461.55,457.51,459.93,0,459.93,0.0052,455.7285714285714,451.5489999999999
2014-01-06,2014,1,6,Monday,0,2014-00,459.93,463.8,459.65,462.78,0,462.78,0.0062,456.7457142857143,452.0092000000001
2014-01-07,2014,1,7,Tuesday,0,2014-00,462.78,463.55,460.95,461.76,0,461.76,-0.0022,457.312857142857,452.4082
2014-01-08,2014,1,8,Wednesday,1,2014-01,461.76,462.19,458.4,458.8,0,458.8,-0.0064,457.93642857142856,452.6354
2014-01-09,2014,1,9,Thursday,1,2014-01,458.8,465.87,458.75,460.01,0,460.01,0.0026,458.7657142857143,452.8504
2014-01-10,2014,1,10,Friday,1,2014-01,460.01,465.97,459.97,463.78,0,463.78,0.0081999999999999,459.4471428571428,453.1122
2014-01-13,2014,1,13,Monday,1,2014-01,463.78,464.5,461.3,462.94,0,462.94,-0.0018,460.0835714285714,453.379
2014-01-14,2014,1,14,Tuesday,1,2014-01,462.94,467.87,462.4,467.53,0,467.53,0.0098999999999999,460.8671428571429,453.721
2014-01-15,2014,1,15,Wednesday,2,2014-02,467.53,475.76,467.53,475.13,0,475.13,0.0163,462.085,454.1818
2014-01-16,2014,1,16,Thursday,2,2014-02,475.13,479.0,474.56,478.36,0,478.36,0.0068,463.53357142857146,454.6654
2014-01-17,2014,1,17,Friday,2,2014-02,478.36,483.87,478.32,480.63,0,480.63,0.0046999999999999,464.9792857142857,455.2434
2014-01-20,2014,1,20,Monday,2,2014-02,480.63,484.89,480.33,484.73,0,484.73,0.0085,466.7307142857143,455.964
2014-01-21,2014,1,21,Tuesday,2,2014-02,484.73,488.21,484.3,485.59,0,485.59,0.0018,468.5378571428572,456.6786
2014-01-22,2014,1,22,Wednesday,3,2014-03,485.59,489.01,483.65,483.9,0,483.9,-0.0034999999999999,470.4192857142857,457.3296
2014-01-23,2014,1,23,Thursday,3,2014-03,483.9,487.18,482.7,485.11,0,485.11,0.0025,472.2178571428572,458.0422
2014-01-24,2014,1,24,Friday,3,2014-03,485.11,485.2,475.79,476.47,0,476.47,-0.0178,473.1957142857143,458.7056
2014-01-27,2014,1,27,Monday,3,2014-03,476.47,479.38,472.46,473.19,0,473.19,-0.0069,474.01214285714286,459.2348
2014-01-28,2014,1,28,Tuesday,3,2014-03,473.19,475.42,472.0,474.0,0,474.0,0.0017,475.0978571428572,459.774
2014-01-29,2014,1,29,Wednesday,4,2014-04,474.0,475.73,466.23,468.76,0,468.76,-0.0111,475.7228571428572,460.2086
2014-01-30,2014,1,30,Thursday,4,2014-04,468.76,471.0,465.12,470.63,0,470.63,0.004,476.2121428571429,460.6494
2014-01-31,2014,1,31,Friday,4,2014-04,470.63,470.63,462.04,467.99,0,467.99,-0.0056,476.5728571428571,461.0312
2014-02-03,2014,2,3,Monday,4,2014-04,467.99,473.19,467.99,469.4,0,469.4,0.003,476.70642857142855,461.3338
