Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,0,2014-00,2648.23,2666.97,2648.23,2657.12,0,2657.12,0.0034,2653.813571428572,2700.4946
2014-01-03,2014,1,3,Friday,0,2014-00,2657.12,2769.58,2657.12,2763.25,0,2763.25,0.0399,2663.8314285714287,2701.9502
2014-01-06,2014,1,6,Monday,0,2014-00,2763.25,2779.44,2746.19,2774.15,0,2774.15,0.0039,2673.6071428571427,2704.153
2014-01-07,2014,1,7,Tuesday,0,2014-00,2774.15,2782.47,2759.87,2764.39,0,2764.39,-0.0034999999999999,2681.3642857142854,2706.2330000000006
2014-01-08,2014,1,8,Wednesday,1,2014-01,2764.39,2774.0,2760.63,2767.43,0,2767.43,0.0011,2691.0671428571427,2708.3332
2014-01-09,2014,1,9,Thursday,1,2014-01,2767.43,2798.76,2748.16,2756.25,0,2756.25,-0.004,2701.143571428572,2709.7268
2014-01-10,2014,1,10,Friday,1,2014-01,2756.25,2811.49,2756.23,2808.47,0,2808.47,0.0189,2712.1985714285715,2711.2276
2014-01-13,2014,1,13,Monday,1,2014-01,2808.47,2829.05,2807.47,2812.94,0,2812.94,0.0016,2723.1707142857144,2712.6562
2014-01-14,2014,1,14,Tuesday,1,2014-01,2812.94,2817.83,2781.76,2814.05,0,2814.05,0.0004,2733.542857142857,2714.1776
2014-01-15,2014,1,15,Wednesday,2,2014-02,2814.05,2841.48,2814.05,2841.35,0,2841.35,0.0097,2745.500714285714,2716.4682000000003
2014-01-16,2014,1,16,Thursday,2,2014-02,2841.35,2849.53,2808.44,2815.47,0,2815.47,-0.0091,2755.61,2717.905400000001
2014-01-17,2014,1,17,Friday,2,2014-02,2815.47,2840.92,2812.96,2819.57,0,2819.57,0.0015,2765.3514285714286,2719.3476
2014-01-20,2014,1,20,Monday,2,2014-02,2819.57,2840.06,2817.77,2826.87,0,2826.87,0.0026,2776.3957142857143,2720.6446
2014-01-21,2014,1,21,Tuesday,2,2014-02,2826.87,2841.31,2826.25,2832.97,0,2832.97,0.0022,2789.5914285714284,2722.3146
2014-01-22,2014,1,22,Wednesday,3,2014-03,2832.97,2857.92,2819.61,2829.41,0,2829.41,-0.0013,2801.897857142857,2723.6452000000004
2014-01-23,2014,1,23,Thursday,3,2014-03,2829.41,2858.94,2812.58,2824.87,0,2824.87,-0.0016,2806.299285714286,2724.8572000000004
2014-01-24,2014,1,24,Friday,3,2014-03,2824.87,2844.7,2758.62,2766.87,0,2766.87,-0.0204999999999999,2805.779285714286,2725.4236
2014-01-27,2014,1,27,Monday,3,2014-03,2766.87,2772.47,2722.94,2727.34,0,2727.34,-0.0143,2803.132857142857,2724.7906
2014-01-28,2014,1,28,Tuesday,3,2014-03,2727.34,2764.27,2726.15,2726.15,0,2726.15,-0.0004,2800.184285714286,2724.2466
2014-01-29,2014,1,29,Wednesday,4,2014-04,2726.15,2768.67,2712.95,2740.95,0,2740.95,0.0054,2799.0914285714284,2723.8568
2014-01-30,2014,1,30,Thursday,4,2014-04,2740.95,2742.46,2716.28,2741.33,0,2741.33,0.0001,2794.2957142857144,2723.8508
2014-01-31,2014,1,31,Friday,4,2014-04,2741.33,2749.33,2690.8,2738.71,0,2738.71,-0.001,2788.993571428571,2724.0692000000004
2014-02-03,2014,2,3,Monday,4,2014-04,2738.71,2744.52,2705.1,2707.95,0,2707.95,-0.0112,2781.415,2724.0028
2014-02-04,2014,2,4,Tuesday,4,2014-04,2707.95,2717.41,2678.21,2684.08,0,2684.08,-0.0088,2770.181428571429,2723.1504000000004
2014-02-05,2014,2,5,Wednesday,5,2014-05,2684.08,2702.43,2672.9,2679.47,0,2679.47,-0.0017,2760.467142857143,2721.611
2014-02-06,2014,2,6,Thursday,5,2014-05,2679.47,2737.44,2679.47,2730.67,0,2730.67,0.0191,2754.117142857143,2721.0928
2014-02-07,2014,2,7,Friday,5,2014-05,2730.67,2753.65,2726.99,2741.17,0,2741.17,0.0038,2747.9957142857143,2720.5698
2014-02-10,2014,2,10,Monday,5,2014-05,2741.17,2751.85,2728.59,2732.58,0,2732.58,-0.0031,2740.825,2720.605
