Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,0,2014-00,920.27,922.14,913.49,914.98,0,914.98,-0.0056999999999999,894.7921428571428,864.2774
2014-01-03,2014,1,3,Friday,0,2014-00,914.98,920.62,911.95,917.04,0,917.04,0.0023,899.7871428571428,865.6446
2014-01-06,2014,1,6,Monday,0,2014-00,917.04,919.43,911.66,911.66,0,911.66,-0.0059,903.5285714285714,866.8688000000001
2014-01-07,2014,1,7,Tuesday,0,2014-00,911.66,912.53,900.14,901.99,0,901.99,-0.0106,906.5935714285714,867.7004
2014-01-08,2014,1,8,Wednesday,1,2014-01,901.99,913.75,901.99,911.24,0,911.24,0.0103,910.1685714285712,868.8234
2014-01-09,2014,1,9,Thursday,1,2014-01,911.24,911.24,879.43,883.12,0,883.12,-0.0308999999999999,910.6678571428572,869.1908
2014-01-10,2014,1,10,Friday,1,2014-01,883.12,888.36,872.22,879.74,0,879.74,-0.0038,909.6685714285716,869.4251999999999
2014-01-13,2014,1,13,Monday,1,2014-01,879.74,887.99,879.06,886.13,0,886.13,0.0073,908.7464285714286,869.9313999999999
2014-01-14,2014,1,14,Tuesday,1,2014-01,886.13,892.91,874.61,891.29,0,891.29,0.0058,906.7035714285714,870.6261999999999
2014-01-15,2014,1,15,Wednesday,2,2014-02,891.29,903.18,891.29,898.55,0,898.55,0.0081,905.4057142857142,871.5776
2014-01-16,2014,1,16,Thursday,2,2014-02,898.55,900.99,888.34,892.31,0,892.31,-0.0069,903.6621428571428,872.4272
2014-01-17,2014,1,17,Friday,2,2014-02,892.31,897.4,887.9,893.73,0,893.73,0.0016,901.55,873.2048
2014-01-20,2014,1,20,Monday,2,2014-02,893.73,903.38,893.73,900.56,0,900.56,0.0076,900.1864285714285,874.273
2014-01-21,2014,1,21,Tuesday,2,2014-02,900.56,903.19,892.33,895.18,0,895.18,-0.006,898.3942857142857,875.4681999999999
2014-01-22,2014,1,22,Wednesday,3,2014-03,895.18,916.16,895.18,907.96,0,907.96,0.0143,897.892857142857,876.7829999999999
2014-01-23,2014,1,23,Thursday,3,2014-03,907.96,912.16,886.82,890.02,0,890.02,-0.0197999999999999,895.9628571428572,877.9422
2014-01-24,2014,1,24,Friday,3,2014-03,890.02,895.29,879.22,883.85,0,883.85,-0.0069,893.9764285714285,879.0966000000001
2014-01-27,2014,1,27,Monday,3,2014-03,883.85,884.75,865.97,869.44,0,869.44,-0.0163,891.6514285714286,879.8760000000001
2014-01-28,2014,1,28,Tuesday,3,2014-03,869.44,874.46,855.96,869.51,0,869.51,0.0001,888.6707142857143,880.5139999999999
2014-01-29,2014,1,29,Wednesday,4,2014-04,869.51,880.61,854.69,866.38,0,866.38,-0.0036,887.475,881.0240000000001
2014-01-30,2014,1,30,Thursday,4,2014-04,866.38,869.76,859.76,868.94,0,868.94,0.003,886.7035714285714,881.6671999999999
2014-01-31,2014,1,31,Friday,4,2014-04,868.94,871.12,848.37,857.76,0,857.76,-0.0129,884.6771428571429,882.1014
2014-02-03,2014,2,3,Monday,4,2014-04,857.76,866.65,851.42,854.32,0,854.32,-0.004,882.0364285714286,882.4631999999999
2014-02-04,2014,2,4,Tuesday,4,2014-04,854.32,854.32,813.1,829.87,0,829.87,-0.0286,877.1307142857142,882.0844000000001
2014-02-05,2014,2,5,Wednesday,5,2014-05,829.87,851.01,827.43,833.04,0,833.04,0.0038,872.8971428571429,881.5968
2014-02-06,2014,2,6,Thursday,5,2014-05,833.04,846.93,833.04,842.5,0,842.5,0.0113999999999999,869.2378571428571,881.2852
2014-02-07,2014,2,7,Friday,5,2014-05,842.5,849.16,839.03,841.31,0,841.31,-0.0014,865.0057142857142,880.9047999999999
2014-02-10,2014,2,10,Monday,5,2014-05,841.31,856.53,840.3,855.16,0,855.16,0.0165,862.1471428571429,880.6642000000002
2014-02-11,2014,2,11,Tuesday,5,2014-05,855.16,871.25,854.68,871.25,0,871.25,0.0187999999999999,859.525,880.7454000000001
2014-02-12,2014,2,12,Wednesday,6,2014-06,871.25,871.48,854.7,859.69,0,859.69,-0.0133,857.3585714285715,880.7228
2014-02-13,2014,2,13,Thursday,6,2014-06,859.69,861.3,848.85,860.07,0,860.07,0.0004,855.66,880.8372
2014-02-14,2014,2,14,Friday,6,2014-06,860.07,861.01,853.49,860.4,0,860.4,0.0004,855.0142857142856,880.7533999999999
2014-02-17,2014,2,17,Monday,6,2014-06,860.4,871.06,857.96,870.34,0,870.34,0.0116,855.0735714285713,880.921
2014-02-18,2014,2,18,Tuesday,6,2014-06,870.34,879.24,847.01,878.39,0,878.39,0.0092,855.9314285714287,881.0846
2014-02-19,2014,2,19,Wednesday,7,2014-07,878.39,885.34,870.93,879.97,0,879.97,0.0018,856.7192857142857,881.3092000000001
2014-02-20,2014,2,20,Thursday,7,2014-07,879.97,882.46,867.78,881.12,0,881.12,0.0013,858.3878571428571,881.6039999999999
2014-02-21,2014,2,21,Friday,7,2014-07,881.12,896.03,880.06,892.15,0,892.15,0.0125,861.09,882.2614
2014-02-24,2014,2,24,Monday,7,2014-07,892.15,903.48,891.24,903.02,0,903.02,0.0121999999999999,866.3149999999999,883.3795999999999
2014-02-25,2014,2,25,Tuesday,7,2014-07,903.02,903.38,890.14,896.69,0,896.69,-0.0069999999999999,870.8614285714285,884.1278
